First_junc_name,err_dist,Second_junction,,,
LTT,0,VVH,,,every junc to junc err_dist line is followed by set of all stations in between the junctions 
LTT,,,,,
VVH,,,,,
 , , ,,,
VVH,0.591307272,TNA,,,
VVH,,,,,
GC,,,,,
VK,,,,,
KJRD,,,,,
BND,,,,,
NHU,,,,,
CRNM,,,,,
MLND,,,,,
TNA,,,,,
 , , ,,,
TNA,0.380042215,DIVA,,,
TNA,,,,,
XX-TNAB,,,,,
YY-PSKT,,,,,
DIVA,,,,,
 , , ,,,
DIVA,0,DTVL,,,
DIVA,,,,,
DTVL,,,,,
 , , ,,,
DTVL,0.650278812,PNVL,,,
DTVL,,,,,
NIIJ,,,,,
TPND,,,,,
NVRD,,,,,
KLMC,,,,,
KLMG,,,,,
PNVL,,,,,
 , , ,,,
PNBE,0.148364993,PWS,,,
PNBE,,,,,
SCY,,,,,
PWS,,,,,
 , , ,,,
PWS,0,DNR,,,
PWS,,,,,
DNR,,,,,
 , , ,,,
DNR,0.631910425,ARA,,,
DNR,,,,,
NEO,,,,,
GNHI,,,,,
SDE,,,,,
PATL,,,,,
BTA,,,,,
PAIL,,,,,
KWR,,,,,
KUA,,,,,
JMIR,,,,,
ARA,,,,,
 , , ,,,
ARA,5.778802422,DLN,,,
ARA,,,,,
JGWL,,,,,
MTBH,,,,,
KRS,,,,,
KYA,,,,,
XSAN,,,,,
RNTE,,,,,
BEA,,,,,
ASJP,,,,,
BYN,,,,,
SKRI,,,,,
RPR,,,,,
VKDH,,,,,
TWG,,,,,
VVG,,,,,
DURE,,,,,
KPHH,,,,,
BUE,,,,,
NDON,,,,,
BXR,,,,,
PWXP,,,,,
CSA,,,,,
BQW,,,,,
GMR,,,,,
KKRH,,,,,
BWH,,,,,
USK,,,,,
DLN,,,,,
 , , ,,,
DLN,0.827809647,JTHT,,,
DLN,,,,,
DRV,,,,,
ZNA,,,,,
BHCL,,,,,
DHA,,,,,
TLAM,,,,,
SLD,,,,,
KCA,,,,,
EOCM,,,,,
JTHT,,,,,
 , , ,,,
JTHT,0.003078993,DDU,,,
JTHT,,,,,
MGSO,,,,,
MGMY,,,,,
DDU,,,,,
 , , ,,,
DDU,0,NEWC,,,
DDU,,,,,
NEWC,,,,,
 , , ,,,
NEWC,0,AVCD,,,
NEWC,,,,,
AVCD,,,,,
 , , ,,,
AVCD,0.454075493,CAR,,,
AVCD,,,,,
JEP,,,,,
ARW,,,,,
KYT,,,,,
CAR,,,,,
 , , ,,,
CAR,0.55476414,MZP,,,
CAR,,,,,
DAP,,,,,
PRE,,,,,
JHG,,,,,
MZP,,,,,
 , , ,,,
MZP,3.626562945,KCN,,,
MZP,,,,,
BDL,,,,,
BEO,,,,,
GAE,,,,,
JIA,,,,,
MNF,,,,,
UND,,,,,
MJA,,,,,
BEP,,,,,
KCN,,,,,
 , , ,,,
KCN,0,PCOI,,,
KCN,,,,,
PCOI,,,,,
 , , ,,,
PCOI,0,LKJN,,,
PCOI,,,,,
LKJN,,,,,
 , , ,,,
LKJN,0,IDGJ,,,
LKJN,,,,,
IDGJ,,,,,
 , , ,,,
IDGJ,3.746632649,MKP,,,
IDGJ,,,,,
JSR,,,,,
MFX,,,,,
LOG,,,,,
BVAR,,,,,
SRJ,,,,,
MJHR,,,,,
BRG,,,,,
KTDD,,,,,
DBR,,,,,
PNHI,,,,,
MKP,,,,,
 , , ,,,
MKP,0,BNSP,,,
MKP,,,,,
BNSP,,,,,
 , , ,,,
BNSP,8.973632573,STA,,,
BNSP,,,,,
BQF,,,,,
MKD,,,,,
TKYR,,,,,
EDA,,,,,
MJG,,,,,
CTHR,,,,,
KTHA,,,,,
