First_junc_name,Second_junc_name,err_dist
LTT,0,VVH,
VVH,0.5913072721561461,TNA,
TNA,0.38004221488459283,DIVA,
DIVA,0,DTVL,
DTVL,0.6502788115592703,PNVL,
PNBE,0.14836499293229266,PWS,
PWS,0,DNR,
DNR,0.6319104250553262,ARA,
ARA,5.778802421863493,DLN,
DLN,0.827809646609384,JTHT,
JTHT,0.003078992927178643,DDU,
DDU,0,NEWC,
NEWC,0,AVCD,
AVCD,0.45407549314467194,CAR,
CAR,0.5547641403892142,MZP,
MZP,3.6265629452392005,KCN,
KCN,0,PCOI,
PCOI,0,LKJN,
LKJN,0,IDGJ,
IDGJ,3.746632649208003,MKP,
MKP,0,BNSP,
BNSP,8.973632572889871,STA,
STA,5.089889014797625,KTE,
KTE,0,KTES,
KTES,2.5327749843472276,KEQ,
KEQ,2.7314497690709554,ET,
ET,0,JUH,
JUH,4.065936181779072,TLV,
TLV,10.028426719754641,BSBN,
BSBN,0,BSGS,
BSGS,0.36831892275578804,JL,
JL,5.681871255173219,CSN,
CSN,3.2885553225325532,MMR,
MMR,0,YY-MMRX,
YY-MMRX,9.361753955190268,KYN,
KYN,0.20048674046916987,DI,
DI,0.004054357411549496,KOPR,
KOPR,0,DWJN,
DWJN,0,DIVA,
AVCD,0,BHBV,
BHBV,1.7850910761319925,BSB,
MAU,0.3574660543663877,ARJ,
ARJ,1.0621350289367322,BSB,
KTE,0,KMZ,
KMZ,14.101499872973656,MAKR,
MAKR,0,BINA,
BINA,6.655827854225384,NSZ,
NSZ,0,BPL,
BPL,1.3765875621484742,ET,
PUNE,0.6433289974707214,MJBK,
MJBK,0.003222549178141138,LONI,
LONI,0.8001557043335085,XX-DDBC,
XX-DDBC,0,DDCC,
DDCC,7.241360076508774,PB,
PB,3.130603914031609,ANK,
ANK,2.0190151649892947,YY-MMRX,
NGP,6.0371059267649185,SEGM,
SEGM,0,WR,
WR,2.6749180763317377,XX-BDXO,
XX-BDXO,0.01873098901398351,BD,
BD,0.5924297295609516,MZR,
MZR,0.31282594531874686,AK,
AK,2.4380255128344643,XX-JMOA,
XX-JMOA,2.8044769946418096,BSCN,
BSCN,0,BSGS,
JL,10.090145152241604,XX-UDNC,
XX-UDNC,0,UDN,
UDN,0.9252655934255702,AKV,
AKV,0.15414780802581063,BH,
BH,1.030336982505576,VS,
VS,0.9122030351430296,BRGY,
BRGY,0.42017191975017776,ANND,
ANND,0,XX-ANNC,
XX-ANNC,0.0006905478813104075,ND,
ND,1.999442824702405,SBTA,
SBTA,1.226273064982807,SBTF,
SBTF,0.0018720626525226775,XX-CLDO,
XX-CLDO,5.147398649401541,VG,
VG,0,VGDC,
VGDC,0.6593967436922606,SNEC,
SNEC,0,SUNN,
SUNN,4.88491026044156,WKR,
WKR,0,XX-WKRB,
XX-WKRB,1.357427482135394,RJT,
VVH,0.0253913680640922,CLA,
CLA,1.5339947116211874,SNRD,
SNRD,0.03805810187005875,CSMT,
BPQ,3.424989036093377,XX-MJRO,
XX-MJRO,0,MJRI,
MJRI,3.9798034766756265,CHJC,
CHJC,0,WR,
XX-UDNC,0,XX-UDNB,
XX-UDNB,0.204373699013442,BIM,
BIM,7.085997001231345,VTN,
VTN,1.1777366670528664,VCSV,
VCSV,0.2154252003849944,BSR,
BSR,1.9003336451512536,KOPR,
KOPR,0,DCTL,
DCTL,0,DI,
KYN,4.938486870845748,KJT,
KJT,0,PDI,
PDI,4.718765305430926,PUNE,
LWR,2.0127807521004377,LD,
LD,12.501995708838347,MRJ,
MRJ,0.35362478897422467,VRB,
VRB,11.07536449251341,PUNE,
XX-DDBC,0,DDJA,
DDJA,0,DD,
DD,0,DDCC,
IDGJ,0,PCOI,
PCOI,0,ACOI,
ACOI,0,KCN,
DNR,0,PPTA,
PPTA,0.7582022890528853,PHLG,
PHLG,0,SEE,
SEE,0,HJP,
HJP,0.433414352180125,BCA,
BCA,0.8293813914964234,BJU,
BJU,0,BJUP,
BJUP,1.407441319150707,SKJ,
SKJ,0,UMNR,
UMNR,0,KGG,
KGG,0,MNE,
MNE,10.152987619779559,KIR,
KIR,0,KIRB,
KIRB,0.7751717568880494,MFA,
MFA,0,BOE,
BOE,11.425183638037774,AUB,
AUB,0.34479480517295596,RNI,
RNI,0,NJP,
NJP,0.38725736094601465,RQJ,
RQJ,0.3312468148679285,YLSC,
YLSC,5.833727831996433,NCB,
NCB,3.547870966354754,SMTA,
SMTA,1.411376925985021,FKM,
FKM,1.4459874871368728,NBQ,
NBQ,2.4621356367278002,RNY,
RNY,2.5625847310408134,KYQ,
KYQ,3.743873901976019,CPK,
CPK,3.707666702717157,PKB,
PKB,0,MYD,
MYD,15.083236873222884,BPB,
BPB,0.2873448001366536,NKMG,
NKMG,0,KGBC,
KGBC,0.46269290369748717,BRGM,
BRGM,16.874409721951906,AGTL,
BNSP,0,OHAN,
OHAN,4.203649702529526,KID,
KID,4.553075432641224,BZM,
BZM,0.31322189392194105,GOY,
GOY,0,CNJO,
CNJO,0.13686617188848219,CNB,
CNB,0.7280153079337367,ON,
ON,1.1203722131564442,MKG,
MKG,0,BKHA,
BKHA,0,ASH,
ASH,0.19751454658512135,DAL,
DAL,3.9550218738705647,STP,
STP,0,SCC,
SCC,0.546824703372894,SPC,
SPC,0.5032996241945911,ROZA,
ROZA,2.8188188660780766,BRYC,
BRYC,0,BE,
BE,0.6777619075985419,RMU,
RMU,0.23299071317496844,KGFE,
